date,FXMUSDCAD
2019-01-01,1.3301
2019-02-01,1.3206
2019-03-01,1.3368
2019-04-01,1.3378
2019-05-01,1.3459
2019-06-01,1.3287
2019-07-01,1.3101
2019-08-01,1.3277
2019-09-01,1.3241
2019-10-01,1.319
2019-11-01,1.3239
2019-12-01,1.3172
2020-01-01,1.3087
2020-02-01,1.3286
2020-03-01,1.3953
2020-04-01,1.4058
2020-05-01,1.397
2020-06-01,1.355
2020-07-01,1.3499
2020-08-01,1.3222
2020-09-01,1.3228
2020-10-01,1.3215
2020-11-01,1.3068
2020-12-01,1.2808
2021-01-01,1.2724
2021-02-01,1.2699
2021-03-01,1.2574
2021-04-01,1.2496
2021-05-01,1.2126
2021-06-01,1.2219
2021-07-01,1.2529
2021-08-01,1.2603
2021-09-01,1.2671
2021-10-01,1.2437
2021-11-01,1.257
2021-12-01,1.2794
