REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,103.1,,,,1
Feb-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,105.1,,,,1
Mar-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,117.7,,,,1
Apr-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,129.5,,,,1
May-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,130.7,,,,1
Jun-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,119.9,,,,1
Jul-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,124.4,,,,1
Aug-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,117.9,,,,1
Sep-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,116.9,,,,1
Oct-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,117.2,,,,1
Nov-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,115,,,,1
Dec-19,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,114.5,,,,1
Jan-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,114.6,,,,1
Feb-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,112.2,,,,1
Mar-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,91.3,,,,1
Apr-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,77.8,,,,1
May-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,91.4,,,,1
Jun-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,101,,,,1
Jul-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,105.5,,,,1
Aug-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,104.6,,,,1
Sep-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,104.1,,,,1
Oct-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,102.6,,,,1
Nov-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,101.1,,,,1
Dec-20,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,104.4,,,,1
Jan-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,111,,,,1
Feb-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,118.2,,,,1
Mar-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,125,,,,1
Apr-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,127.5,,,,1
May-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,131.5,,,,1
Jun-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,133.7,,,,1
Jul-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,138.4,,,,1
Aug-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,139,,,,1
Sep-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,138.9,,,,1
Oct-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,146,,,,1
Nov-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,145.8,,,,1
Dec-21,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,140,,,,1
