REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Total revenue and total passenger trips,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,160.9,,,,1
Feb-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,153.8,,,,1
Mar-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,164.7,,,,1
Apr-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,157.3,,,,1
May-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,155.3,,,,1
Jun-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,151.8,,,,1
Jul-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,147.4,,,,1
Aug-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,146.2,,,,1
Sep-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,164.0,,,,1
Oct-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,169.2,,,,1
Nov-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,164.8,,,,1
Dec-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,153.3,,,,1
Jan-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,163.9,,,,1
Feb-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,161.2,,,,1
Mar-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,88.5,,,,1
Apr-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,25.7,,,,1
May-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,28.4,,,,1
Jun-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,38.5,,,,1
Jul-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,53.8,,,,1
Aug-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,55.5,,,,1
Sep-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,62.9,,,,1
Oct-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,58.4,,,,1
Nov-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,58.1,,,,1
Dec-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,54.2,,,,1
Jan-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,46.4,,,,1
Feb-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,48.8,,,,1
Mar-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,55.0,,,,1
Apr-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,51.6,,,,1
May-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,51.7,,,,1
Jun-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,55.3,,,,1
Jul-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,62.1,,,,1
Aug-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,65.3,,,,1
Sep-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,82.2,,,,1
Oct-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,86.5,,,,1
Nov-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,91.1,,,,1
Dec-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,82.4,,,,1
