make_and_model,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,Category
acura nsx,0.0,1.0,4.0,2.0,6.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,8.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,5.0,5.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,Coupe
acura rdx,473.0,454.0,591.0,764.0,980.0,894.0,819.0,963.0,973.0,985.0,941.0,879.0,521.0,612.0,250.0,156.0,630.0,892.0,901.0,716.0,755.0,629.0,797.0,2310.0,443.0,466.0,650.0,552.0,607.0,738.0,747.0,720.0,788.0,854.0,661.0,750.0,SUV
acura rlx,5.0,5.0,3.0,4.0,6.0,4.0,2.0,11.0,5.0,5.0,5.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Sedan
acura tlx,176.0,342.0,402.0,0.0,282.0,230.0,246.0,154.0,280.0,268.0,223.0,270.0,223.0,161.0,107.0,77.0,0.0,382.0,291.0,255.0,0.0,316.0,190.0,648.0,111.0,112.0,309.0,0.0,1.0,0.0,391.0,249.0,225.0,143.0,155.0,85.0,Sedan
alfa romeo 4c,2.0,2.0,5.0,7.0,10.0,4.0,5.0,5.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Coupe
alfa romeo giulia,12.0,29.0,22.0,20.0,35.0,23.0,22.0,25.0,10.0,18.0,15.0,11.0,12.0,16.0,10.0,8.0,18.0,19.0,20.0,17.0,19.0,16.0,13.0,19.0,12.0,12.0,14.0,26.0,25.0,26.0,15.0,14.0,15.0,14.0,14.0,14.0,Sedan
alfa romeo stelvio,25.0,17.0,40.0,46.0,38.0,38.0,32.0,36.0,72.0,31.0,26.0,57.0,23.0,30.0,18.0,16.0,36.0,37.0,62.0,55.0,59.0,51.0,42.0,58.0,42.0,42.0,48.0,59.0,57.0,59.0,68.0,65.0,68.0,67.0,67.0,67.0,SUV
audi a3,203.0,147.0,254.0,334.0,413.0,442.0,116.0,220.0,499.0,222.0,175.0,92.0,112.0,145.0,88.0,93.0,208.0,218.0,205.0,183.0,198.0,91.0,75.0,104.0,40.0,40.0,45.0,2.0,2.0,2.0,0.0,0.0,0.0,98.0,98.0,98.0,"Convertible, Sedan"
audi a4,208.0,226.0,318.0,419.0,508.0,382.0,368.0,388.0,312.0,381.0,289.0,118.0,119.0,154.0,93.0,71.0,158.0,166.0,316.0,281.0,304.0,191.0,157.0,219.0,113.0,113.0,127.0,224.0,216.0,224.0,117.0,113.0,117.0,46.0,46.0,46.0,Sedan
audi a5,255.0,312.0,381.0,446.0,492.0,398.0,281.0,346.0,433.0,416.0,294.0,169.0,153.0,198.0,120.0,122.0,271.0,284.0,299.0,266.0,288.0,171.0,140.0,195.0,181.0,181.0,204.0,431.0,414.0,431.0,177.0,170.0,177.0,85.0,85.0,85.0,"Coupe, Sedan, Convertible"
