Date,interest_rate
2021-12, 0.50
2021-11, 0.50
2021-10, 0.50
2021-09, 0.50
2021-08, 0.50
2021-07, 0.50
2021-06, 0.50
2021-05, 0.50
2021-04, 0.50
2021-03, 0.50
2021-02, 0.50
2021-01, 0.50
2020-12, 0.50
2020-11, 0.50
2020-10, 0.50
2020-09, 0.50
2020-08, 0.50
2020-07, 0.50
2020-06, 0.50
2020-05, 0.50
2020-04, 0.50
2020-03, 1.00
2020-02, 2.00
2020-01, 2.00
2019-12, 2.00
2019-11, 2.00
2019-10, 2.00
2019-09, 2.00
2019-08, 2.00
2019-07, 2.00
2019-06, 2.00
2019-05, 2.00
2019-04, 2.00
2019-03, 2.00
2019-02, 2.00
2019-01, 2.00
